State Code,County Code,State Name,County Name
1,1,Alabama,Autauga
1,3,Alabama,Baldwin
1,5,Alabama,Barbour
1,7,Alabama,Bibb
1,9,Alabama,Blount
1,15,Alabama,Calhoun
1,21,Alabama,Chilton
1,23,Alabama,Choctaw
1,25,Alabama,Clarke
1,27,Alabama,Clay
1,31,Alabama,Coffee
1,33,Alabama,Colbert
1,35,Alabama,Conecuh
1,39,Alabama,Covington
1,43,Alabama,Cullman
1,47,Alabama,Dallas
1,49,Alabama,DeKalb
1,51,Alabama,Elmore
1,53,Alabama,Escambia
1,55,Alabama,Etowah
1,59,Alabama,Franklin
1,61,Alabama,Geneva
1,67,Alabama,Henry
1,69,Alabama,Houston
1,71,Alabama,Jackson
1,73,Alabama,Jefferson
1,77,Alabama,Lauderdale
1,79,Alabama,Lawrence
1,81,Alabama,Lee
1,83,Alabama,Limestone
1,89,Alabama,Madison
1,91,Alabama,Marengo
1,95,Alabama,Marshall
1,97,Alabama,Mobile
1,99,Alabama,Monroe
1,101,Alabama,Montgomery
1,103,Alabama,Morgan
1,109,Alabama,Pike
1,113,Alabama,Russell
1,115,Alabama,St. Clair
1,117,Alabama,Shelby
1,119,Alabama,Sumter
1,121,Alabama,Talladega
1,123,Alabama,Tallapoosa
1,125,Alabama,Tuscaloosa
1,127,Alabama,Walker
1,129,Alabama,Washington
2,13,Alaska,Aleutians East 
2,20,Alaska,Anchorage 
2,50,Alaska,Bethel 
2,68,Alaska,Denali 
2,90,Alaska,Fairbanks North Star 
2,100,Alaska,Haines 
2,110,Alaska,Juneau 
2,122,Alaska,Kenai Peninsula 
2,130,Alaska,Ketchikan Gateway 
2,170,Alaska,Matanuska-Susitna 
2,185,Alaska,North Slope 
2,188,Alaska,Northwest Arctic 
2,220,Alaska,Sitka 
2,232,Alaska,Skagway-Hoonah-Angoon
2,261,Alaska,Valdez-Cordova 
2,280,Alaska,Wrangell Petersburg
2,290,Alaska,Yukon-Koyukuk 
4,1,Arizona,Apache
4,3,Arizona,Cochise
4,5,Arizona,Coconino
4,7,Arizona,Gila
4,9,Arizona,Graham
4,11,Arizona,Greenlee
4,12,Arizona,La Paz
4,13,Arizona,Maricopa
4,15,Arizona,Mohave
4,17,Arizona,Navajo
4,19,Arizona,Pima
4,21,Arizona,Pinal
4,23,Arizona,Santa Cruz
4,25,Arizona,Yavapai
4,27,Arizona,Yuma
5,1,Arkansas,Arkansas
5,3,Arkansas,Ashley
5,5,Arkansas,Baxter
5,7,Arkansas,Benton
5,9,Arkansas,Boone
5,19,Arkansas,Clark
5,27,Arkansas,Columbia
5,31,Arkansas,Craighead
5,33,Arkansas,Crawford
5,35,Arkansas,Crittenden
5,41,Arkansas,Desha
5,45,Arkansas,Faulkner
5,51,Arkansas,Garland
5,55,Arkansas,Greene
5,57,Arkansas,Hempstead
5,63,Arkansas,Independence
5,67,Arkansas,Jackson
5,69,Arkansas,Jefferson
5,85,Arkansas,Lonoke
5,89,Arkansas,Marion
5,91,Arkansas,Miller
5,93,Arkansas,Mississippi
5,97,Arkansas,Montgomery
5,101,Arkansas,Newton
5,103,Arkansas,Ouachita
5,107,Arkansas,Phillips
5,113,Arkansas,Polk
5,115,Arkansas,Pope
5,119,Arkansas,Pulaski
5,123,Arkansas,St. Francis
5,125,Arkansas,Saline
5,131,Arkansas,Sebastian
5,135,Arkansas,Sharp
5,139,Arkansas,Union
5,141,Arkansas,Van Buren
5,143,Arkansas,Washington
5,145,Arkansas,White
6,1,California,Alameda
6,3,California,Alpine
6,5,California,Amador
6,7,California,Butte
6,9,California,Calaveras
6,11,California,Colusa
6,13,California,Contra Costa
6,15,California,Del Norte
6,17,California,El Dorado
6,19,California,Fresno
6,21,California,Glenn
6,23,California,Humboldt
6,25,California,Imperial
6,27,California,Inyo
6,29,California,Kern
6,31,California,Kings
6,33,California,Lake
6,35,California,Lassen
6,37,California,Los Angeles
6,39,California,Madera
6,41,California,Marin
6,43,California,Mariposa
6,45,California,Mendocino
6,47,California,Merced
6,49,California,Modoc
6,51,California,Mono
6,53,California,Monterey
6,55,California,Napa
6,57,California,Nevada
6,59,California,Orange
6,61,California,Placer
6,63,California,Plumas
6,65,California,Riverside
6,67,California,Sacramento
6,69,California,San Benito
6,71,California,San Bernardino
6,73,California,San Diego
6,75,California,San Francisco
6,77,California,San Joaquin
6,79,California,San Luis Obispo
6,81,California,San Mateo
6,83,California,Santa Barbara
6,85,California,Santa Clara
6,87,California,Santa Cruz
6,89,California,Shasta
6,91,California,Sierra
6,93,California,Siskiyou
6,95,California,Solano
6,97,California,Sonoma
6,99,California,Stanislaus
6,101,California,Sutter
6,103,California,Tehama
6,105,California,Trinity
6,107,California,Tulare
6,109,California,Tuolumne
6,111,California,Ventura
6,113,California,Yolo
6,115,California,Yuba
8,1,Colorado,Adams
8,3,Colorado,Alamosa
8,5,Colorado,Arapahoe
8,7,Colorado,Archuleta
8,13,Colorado,Boulder
8,14,Colorado,Broomfield
8,15,Colorado,Chaffee
8,19,Colorado,Clear Creek
8,23,Colorado,Costilla
8,29,Colorado,Delta
8,31,Colorado,Denver
8,35,Colorado,Douglas
8,37,Colorado,Eagle
8,39,Colorado,Elbert
8,41,Colorado,El Paso
8,43,Colorado,Fremont
8,45,Colorado,Garfield
8,47,Colorado,Gilpin
8,49,Colorado,Grand
8,51,Colorado,Gunnison
8,55,Colorado,Huerfano
8,57,Colorado,Jackson
